nexo_id	name	definition	comment
7509	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:1.57085981616418 density:0.333333333333333 bootstrap:0.499636233 cc_score:0.0 bp_score:0.0 mf_score:0.0
7691	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0.987145276609704 density:0.166666666666667 bootstrap:0.229324995 cc_score:0.0 bp_score:0.0750119 mf_score:0.0
8922	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.89786057210676 density:1 bootstrap:0.46382393 cc_score:0.0 bp_score:0.0132646 mf_score:0.0
6005	CC:  | BP: alanyl-tRNA aminoacylation | MF:alanine-tRNA ligase activity	CC_def:  | BP_def: The process of coupling alanine to alanyl-tRNA, catalyzed by alanyl-tRNA synthetase. In tRNA aminoacylation, the amino acid is first activated by linkage to AMP and then transferred to either the 2'- or the 3'-hydroxyl group of the 3'-adenosine residue of the tRNA. | MF_def:Catalysis of the reaction: ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala).	robustness:1.83799181516754 density:0.333333333333333 bootstrap:0.684015922 cc_score:0.0 bp_score:0.220156 mf_score:0.230343
8529	CC:  | BP: meiotic G2/MI transition | MF:	CC_def:  | BP_def: The cell cycle process in which a cell progresses from meiotic prophase to metaphase I. | MF_def:	robustness:3.65616399793792 density:1 bootstrap:0.7383283 cc_score:0.0 bp_score:0.292104 mf_score:0.0
7973	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.39590337544628 density:0.0897435897435897 bootstrap:0.277316227 cc_score:0.0 bp_score:0.0578854 mf_score:0.0585292
5265	CC: carbamoyl-phosphate synthase complex | BP: asparaginyl-tRNA aminoacylation | MF:asparagine-tRNA ligase activity	CC_def: A protein complex that catalyzes the formation of carbamoyl phosphate; comprises a small subunit that binds and cleaves glutamine, and a large subunit that accepts the ammonia group cleaved from glutamine, binds all of the remaining substrates and effectors, and carries out all of the other catalytic events. | BP_def: The process of coupling asparagine to asparaginyl-tRNA, catalyzed by asparaginyl-tRNA synthetase. In tRNA aminoacylation, the amino acid is first activated by linkage to AMP and then transferred to either the 2'- or the 3'-hydroxyl group of the 3'-adenosine residue of the tRNA. | MF_def:Catalysis of the reaction: L-asparagine + ATP + tRNA(Asn) = AMP + Asn-tRNA(Asn) + diphosphate + 2 H(+).	robustness:0 density:0 bootstrap:0.83534914 cc_score:0.291709 bp_score:0.282874 mf_score:0.29282
9697	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:11.0889478614517 density:0.854545454545454 bootstrap:0.467937255 cc_score:0.0 bp_score:0.0277569 mf_score:0.0
6143	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.90670401 cc_score:0.0 bp_score:0.0149019 mf_score:0.0
6924	CC:  | BP: snoRNA localization | MF:	CC_def:  | BP_def: Any process in which small nucleolar RNA is transported to, or maintained in, a specific location. | MF_def:	robustness:0 density:0 bootstrap:0.645226806 cc_score:0.0 bp_score:0.313216 mf_score:0.0
8398	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:3.60249494645378 density:1 bootstrap:0.71681146 cc_score:0.0 bp_score:0.0 mf_score:0.0
8805	CC: DUBm complex | BP: histone deubiquitination | MF:histone H3-K18 acetylation	CC_def: A protein complex that forms part of SAGA-type complexes SAGA and SLIK, and mediates deubiquitination of histone H2B. In S. cerevisiae, the DUBm consists of the proteins Ubp8p, Sgf11p, Sus1p, and Sgf73p. | BP_def: The modification of histones by removal of ubiquitin groups. | MF_def:The modification of histone H3 by the addition of an acetyl group to a lysine residue at position 18 of the histone.	robustness:4.76396475324141 density:1 bootstrap:0.626760537 cc_score:0.303683 bp_score:0.29624 mf_score:0.21875
6335	CC:  | BP: error-free translesion synthesis | MF:deoxycytidyl transferase activity	CC_def:  | BP_def: The conversion of DNA-damage induced single-stranded gaps into large molecular weight DNA after replication by using a specialized DNA polymerase or replication complex to insert a defined nucleotide across the lesion. This process does not remove the replication-blocking lesions but does not causes an increase in the endogenous mutation level. For S. cerevisiae, RAD30 encodes DNA polymerase eta, which incorporates two adenines. When incorporated across a thymine-thymine dimer, it does not increase the endogenous mutation level. | MF_def:Catalysis of the insertion of a dCMP residue opposite a template abasic site in DNA.	robustness:2.17695602060401 density:1 bootstrap:0.78527389 cc_score:0.0 bp_score:0.201862 mf_score:0.438641
6981	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:1.65305929460251 density:0.333333333333333 bootstrap:0.553293959 cc_score:0.0 bp_score:0.0 mf_score:0.0
7170	CC:  | BP: GO:0061393 | MF:mitogen-activated protein kinase binding	CC_def:  | BP_def:  | MF_def:Interacting selectively and non-covalently with a mitogen-activated protein kinase.	robustness:0 density:0 bootstrap:0.73103124 cc_score:0.0 bp_score:0.314348 mf_score:0.231165
5196	CC:  | BP: disaccharide catabolic process | MF:oligo-1,6-glucosidase activity	CC_def:  | BP_def: The chemical reactions and pathways resulting in the breakdown of disaccharides, sugars composed of two monosaccharide units. | MF_def:Catalysis of the hydrolysis of 1,6-alpha-D-glucosidic linkages in some oligosaccharides produced from starch and glycogen by alpha-amylase, and in isomaltose.	robustness:4.20992398015595 density:1 bootstrap:0.97891884 cc_score:0.0470609 bp_score:0.107083 mf_score:0.525455
9628	CC: proteasome regulatory particle | BP: proteasome regulatory particle assembly | MF:	CC_def: A multisubunit complex, which caps one or both ends of the proteasome core complex. This complex recognizes and unfolds ubiquitinated proteins, and translocates them to the proteasome core complex. | BP_def: The aggregation, arrangement and bonding together of a mature, active proteasome regulatory particle complex. | MF_def:	robustness:21.8612591650086 density:0.919117647058823 bootstrap:0.665118051 cc_score:0.536489 bp_score:0.286801 mf_score:0.0
7743	CC:  | BP: arginine transport | MF:lysine transport	CC_def:  | BP_def: The directed movement of arginine, 2-amino-5-guanidinopentanoic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. | MF_def:The directed movement of lysine, 2,6-diaminohexanoic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	robustness:1.32773895032602 density:0.333333333333333 bootstrap:0.356947592 cc_score:0.0 bp_score:0.204049 mf_score:0.268129
8593	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.270843631 cc_score:0.0 bp_score:0.0200899 mf_score:0.0566575
8532	CC:  | BP: regulation of DNA-dependent DNA replication initiation | MF:protein kinase activator activity	CC_def:  | BP_def: Any process that modulates the frequency, rate or extent of initiation of DNA-dependent DNA replication; the process in which DNA becomes competent to replicate. In eukaryotes, replication competence is established in early G1 and lost during the ensuing S phase. | MF_def:Increases the activity of a protein kinase, an enzyme which phosphorylates a protein.	robustness:1.11272808247001 density:0.0666666666666667 bootstrap:0.37029948 cc_score:0.0 bp_score:0.101982 mf_score:0.106167
9726	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:4.27966427683118 density:0.028906955736224 bootstrap:0.117760877 cc_score:0.0764794 bp_score:0.0415463 mf_score:0.0
7198	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:1.52050026070125 density:0.133333333333333 bootstrap:0.31087448 cc_score:0.0 bp_score:0.0 mf_score:0.0
5057	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.68453356 cc_score:0.0 bp_score:0.0 mf_score:0.0
8494	CC: DSIF complex | BP:  | MF:	CC_def: A heterodimeric protein complex formed of Spt4 and Spt5 proteins which is expressed in eukaryotes from yeast to man. DSIF is an inhibitory elongation factor that promotes RNA polymerase II transcriptional pausing, but can also stimulate transcriptional elongation under certain conditions, and may play a role in RNA processing via its physical association with mRNA capping enzymes. | BP_def:  | MF_def:	robustness:2.32554216912147 density:1 bootstrap:0.89612849 cc_score:0.879694 bp_score:0.0566267 mf_score:0.0
9524	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:3.88230475724759 density:1 bootstrap:0.41624 cc_score:0.0 bp_score:0.0449614 mf_score:0.0
9539	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:6.10423265784098 density:0.80952380952381 bootstrap:0.396772877 cc_score:0.0 bp_score:0.0 mf_score:0.0
8134	CC:  | BP: negative regulation of cell differentiation | MF:	CC_def:  | BP_def: Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation. | MF_def:	robustness:3.72677014335771 density:1 bootstrap:0.767120157 cc_score:0.0 bp_score:0.161629 mf_score:0.0
6200	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:3.51227609687712 density:0.5 bootstrap:0.81615955 cc_score:0.0 bp_score:0.0 mf_score:0.0
5572	CC:  | BP:  | MF:pre-mRNA branch point binding	CC_def:  | BP_def:  | MF_def:Interacting selectively and non-covalently with a pre-mRNA branch point sequence, located upstream of the 3' splice site.	robustness:2.35833902763162 density:1 bootstrap:0.92158272 cc_score:0.0 bp_score:0.0 mf_score:0.296067
6064	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.80160069918304 density:0.333333333333333 bootstrap:0.83781353 cc_score:0.0 bp_score:0.0 mf_score:0.0
6221	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:4.72173820019756 density:1 bootstrap:0.615698892 cc_score:0.0 bp_score:0.0 mf_score:0.0
5460	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.79991269 cc_score:0.0 bp_score:0.0 mf_score:0.0
8382	CC:  | BP:  | MF:inositol hexakisphosphate binding	CC_def:  | BP_def:  | MF_def:Interacting selectively and non-covalently with inositol hexakisphosphate.	robustness:1.58979164272069 density:0.333333333333333 bootstrap:0.511751924 cc_score:0.0 bp_score:0.0864741 mf_score:0.565944
6641	CC:  | BP: mitochondrial translational initiation | MF:	CC_def:  | BP_def: The process preceding formation of the peptide bond between the first two amino acids of a protein in a mitochondrion. This includes the formation of a complex of the ribosome, mRNA, and an initiation complex that contains the first aminoacyl-tRNA. | MF_def:	robustness:1.92218533333888 density:1 bootstrap:0.61222684 cc_score:0.0 bp_score:0.126284 mf_score:0.0
7843	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:6.06373404253876 density:0.9 bootstrap:0.706877691 cc_score:0.0 bp_score:0.0 mf_score:0.0
5555	CC:  | BP: response to purine-containing compound | MF:	CC_def:  | BP_def: Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a purine-containing compound stimulus. | MF_def:	robustness:0 density:0 bootstrap:0.89031323 cc_score:0.0 bp_score:0.448862 mf_score:0.0
9961	CC: endoplasmic reticulum part | BP: glycosylation | MF:	CC_def: Any constituent part of the endoplasmic reticulum, the irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. | BP_def: The covalent attachment of a glycosyl residue to a substrate molecule. | MF_def:	robustness:17.6477777955379 density:0.161505161505162 bootstrap:0.424738011 cc_score:0.109839 bp_score:0.102738 mf_score:0.0791928
5927	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.83874044 cc_score:0.0 bp_score:0.0 mf_score:0.0
6778	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.22463307793186 density:1 bootstrap:0.82004678 cc_score:0.0 bp_score:0.0 mf_score:0.0
6614	CC: Cdc48p-Npl4p-Ufd1p AAA ATPase complex | BP: cytoplasm-associated proteasomal ubiquitin-dependent protein catabolic process | MF:polyubiquitin binding	CC_def: A multiprotein ATPase complex required for the efficient dislocation of ER-lumenal degradation substrates, and their subsequent proteolysis by the proteasome. In budding yeast, this complex includes Cdc48p, Npl4p and Ufd1p proteins. | BP_def: The chemical reactions and pathways resulting in the breakdown of misfolded proteins in the cytoplasm, which are targeted to cytoplasmic proteasomes for degradation. | MF_def:Interacting selectively and non-covalently with a polymer of ubiqutin.	robustness:2.37735732737927 density:1 bootstrap:0.93650645 cc_score:0.583519 bp_score:0.442399 mf_score:0.587151
6999	CC: mitochondrial respiratory chain complex II | BP: mitochondrial electron transport, succinate to ubiquinone | MF:succinate dehydrogenase (ubiquinone) activity	CC_def: A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains the four polypeptide subunits of succinate dehydrogenase, flavin-adenine dinucleotide and iron-sulfur. Catalyzes the oxidation of succinate by ubiquinone. Connects the TCA cycle with the respiratory chain. | BP_def: The transfer of electrons from succinate to ubiquinone that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex II. | MF_def:Catalysis of the reaction: succinate + ubiquinone = fumarate + ubiquinol.	robustness:5.89554183438277 density:0.733333333333333 bootstrap:0.587348143 cc_score:0.659758 bp_score:0.656218 mf_score:0.579188
8634	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.41661758 cc_score:0.0 bp_score:0.0119267 mf_score:0.0
7976	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:1.20413940760081 density:0.166666666666667 bootstrap:0.341226529 cc_score:0.0 bp_score:0.0 mf_score:0.0
7956	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:3.10284938379184 density:0.0808823529411765 bootstrap:0.31525307 cc_score:0.0 bp_score:0.0382925 mf_score:0.0454698
7867	CC:  | BP: deoxyribonucleotide metabolic process | MF:	CC_def:  | BP_def: The chemical reactions and pathways involving a deoxyribonucleotide, a compound consisting of deoxyribonucleoside (a base linked to a deoxyribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar. | MF_def:	robustness:5.35913020883392 density:0.2 bootstrap:0.374323598 cc_score:0.0 bp_score:0.134567 mf_score:0.0532925
7068	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.586272441 cc_score:0.0 bp_score:0.0 mf_score:0.0
8651	CC:  | BP:  | MF:phosphatase activator activity	CC_def:  | BP_def:  | MF_def:Increases the activity of a phosphatase, an enzyme which catalyzes of the removal of a phosphate group from a substrate molecule.	robustness:4.49246428536278 density:0.833333333333333 bootstrap:0.71100177 cc_score:0.0 bp_score:0.0958563 mf_score:0.252075
5760	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.768671311 cc_score:0.0 bp_score:0.0 mf_score:0.0
9176	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:1.9423805092258 density:0.2 bootstrap:0.455868613 cc_score:0.0 bp_score:0.0905167 mf_score:0.0
9130	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:5.92566043930819 density:0.5 bootstrap:0.52394675 cc_score:0.0 bp_score:0.0609206 mf_score:0.0
5548	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.753946829 cc_score:0.0 bp_score:0.0 mf_score:0.0
6654	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.82595985 cc_score:0.0 bp_score:0.0 mf_score:0.0
5575	CC:  | BP: thiamine biosynthetic process | MF:	CC_def:  | BP_def: The chemical reactions and pathways resulting in the formation of thiamine (vitamin B1), a water soluble vitamin present in fresh vegetables and meats, especially liver. | MF_def:	robustness:0 density:0 bootstrap:0.70891971 cc_score:0.0 bp_score:0.110013 mf_score:0.0
7786	CC:  | BP: RNA import into nucleus | MF:tRNA transport	CC_def:  | BP_def: The import of RNA from the cytoplasm to the nucleus. | MF_def:The directed movement of tRNA, transfer ribonucleic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	robustness:0 density:0 bootstrap:0.463913464 cc_score:0.0 bp_score:0.292701 mf_score:0.4375
9518	CC: eukaryotic translation initiation factor 3 complex | BP: translation reinitiation | MF:	CC_def: A complex of several polypeptides that plays at least two important roles in protein synthesis: First, eIF3 binds to the 40S ribosome and facilitates loading of the Met-tRNA/eIF2.GTP ternary complex to form the 43S preinitiation complex. Subsequently, eIF3 apparently assists eIF4 in recruiting mRNAs to the 43S complex. The eIF3 complex contains five conserved core subunits, and may contain several additional proteins; the non-core subunits are thought to mediate association of the complex with specific sets of mRNAs. | BP_def: A gene-specific translational control mechanism where the small ribosomal subunit remains attached to the mRNA following termination of translation, then resumes scanning on the same mRNA molecule and initiates again at a downstream start site. Reinitiation depends on de novo recruitment of the ternary complex that is required to recognize the next AUG codon. | MF_def:	robustness:7.77350054961436 density:0.928571428571429 bootstrap:0.400204897 cc_score:0.383195 bp_score:0.305638 mf_score:0.0
6894	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.21645636502263 density:1 bootstrap:0.81402964 cc_score:0.0 bp_score:0.0 mf_score:0.0
6444	CC:  | BP: glucokinase activity | MF:pentaerythritol trinitrate reductase activity	CC_def:  | BP_def: Catalysis of the reaction: ATP + D-glucose = ADP + D-glucose-6-phosphate. | MF_def:Catalysis of the reaction: pentaerythritol trinitrate + NADPH = NADP+ + nitrate + pentaerythritol dinitrate.	robustness:0 density:0 bootstrap:0.563028727 cc_score:0.0 bp_score:0.291667 mf_score:0.299265
8829	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:1.47537482976713 density:0.0392156862745098 bootstrap:0.167346858 cc_score:0.0 bp_score:0.0 mf_score:0.0
5668	CC:  | BP: protein geranylgeranylation | MF:CAAX-protein geranylgeranyltransferase activity	CC_def:  | BP_def: The covalent attachment of a geranylgeranyl group to a protein. | MF_def:Catalysis of the reaction: geranylgeranyl diphosphate + protein-cysteine = S-geranylgeranyl-protein + diphosphate. This reaction is the formation of a thioether linkage between the C-1 atom of the geranylgeranyl group and a cysteine residue fourth from the C-terminus of the protein. The protein substrates have the C-terminal sequence CA1A2X, where the terminal residue, X, is preferably leucine and A2 should not be aromatic. Known substrates include most g-subunits of heterotrimeric G proteins and Ras-related GTPases such as members of the Ras and Rac/Rho families.	robustness:0 density:0 bootstrap:0.8852264 cc_score:0.0 bp_score:0.171474 mf_score:0.309499
8980	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:5.2133146173045 density:0.196969696969697 bootstrap:0.567088299 cc_score:0.0 bp_score:0.0 mf_score:0.0
9725	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:8.22563835515024 density:0.373626373626374 bootstrap:0.458238172 cc_score:0.0 bp_score:0.0139468 mf_score:0.0
